Caminho_Relativo,Pasta_Amostra,Arquivo,Velocidade_Extraida_kmh,Metodo_OCR,Texto_Reconhecido
"Amostra 1\Faixa1_0,5Ciclos(110V).jpg",Amostra 1,"Faixa1_0,5Ciclos(110V).jpg",90.0,EasyOCR (bottom),TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :RDO2O1   Modelo:SPL-MFR2 NªSérie:OOOO NªFoto:223375 Data Afer.:01/01/2017 Faixa:1 EndereçoFaixa Votorantim   Sentido: Sul Data:03/12/2025 Hora: 15h 05 min 24  Velmax.:040 knvh Velmed.:090 knvh Vel.consid. :083 knvh
Amostra 2\214500\420241_11.jpg,Amostra 2,420241_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 10h45min22s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214558\420357_11.jpg,Amostra 2,420357_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 1Oh48minOOs LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214616\420473_11.jpg,Amostra 2,420473_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 1Oh5Omin39s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPO1 DT.AFER.: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214674\420589_11.jpg,Amostra 2,420589_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 10h53min17s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPO1 DT.AFER.: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214732\420705_11.jpg,Amostra 2,420705_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 1Oh55min55s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214790\420821_11.jpg,Amostra 2,420821_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 1Oh58min34s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214848\420937_11.jpg,Amostra 2,420937_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 11hO1min12s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPO1 DT.AFER.: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214906\421053_11.jpg,Amostra 2,421053_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 11hO3min51s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\214964\421169_11.jpg,Amostra 2,421169_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 11hO6min29s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\215022\421285_11.jpg,Amostra 2,421285_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 11hO9minO8s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\215080\421401_11.jpg,Amostra 2,421401_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 11h11min46s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 2\215138\421517_11.jpg,Amostra 2,421517_11.jpg,40.0,EasyOCR (bottom),DATA: 18/08/2025 HORA: 11h14min25s LOCALISENTIDO: Avenida Ipiranga_ 6681 Crescente Nª DE SÉRIE: 0000010973 MODELO: VSISVCAPOI DT.AFER:: 07/06/2025 FXROL.: 1 VELMAX: 20 kmlh VELMED: 40 kmlh
Amostra 3\20241126.143342.70962.pan.striped.jpg,Amostra 3,20241126.143342.70962.pan.striped.jpg,65.0,EasyOCR (top),Patai: 28u2'X202a1 Hora Potb3312942s Vel. Reg km/h Vel. Medida km/h Vel.Considerada 65 km/h Rua Labelo rto Alegre E8ªAç%e REgªRª988 ' Pa8ª6URGÃO DE TRANSITO
Amostra 4\12345MFR10100-241570-2409070206020332.jpg,Amostra 4,12345MFR10100-241570-2409070206020332.jpg,150.0,EasyOCR (bottom),Fno Mg | Wohuonen TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :CAMPO Modelo:SPL-MFRI NPSérie:0100 NªFoto.241570 Data Afer.:01/01/2017 Faixa:3 Endereço:Faixa Votorantim   Sentido:Norte Data:07/09/2024 Hora: 02 06 min 02  Velmax.:040 knvh Velmed.:150 knvh Velconsid.:140 knvh
Amostra 4\12345MFR10100-256262-2409070534200332.jpg,Amostra 4,12345MFR10100-256262-2409070534200332.jpg,150.0,EasyOCR (bottom),Punla Mlt8ie * 08/10 TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :CAMPO Modelo:SPL-MFRI NPSérie:0100 NªFoto.256262 Data Afer.:01/01/2017 Faixa:3 Endereço:Faixa Votorantim   Sentido:Norte Data:07/09/2024 Hora: 05 34 min 20 5 Velmax.:040 knvh Velmed.:150 kmvh Velconsid.:140 knvh
Amostra 4\12345MFS10100-041209-2409021522490432.jpg,Amostra 4,12345MFS10100-041209-2409021522490432.jpg,125.0,EasyOCR (bottom),02/09/2024 TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :CAMPO Modelo:SPL-MFSI NªSérie:0100 NªFoto:041209 Data Afer.:01/01/2017 Faixa:4 Endereço:Faixa Votorantim   Sentido:Norte Data:02/09/2024 Hora: 15 h 22 min 49 5 Velmax.:040 knvh Velmed.:125 knvh Velconsid.:116 kmvh
Amostra 4\12345MFS10100-047012-2409021627450332.jpg,Amostra 4,12345MFS10100-047012-2409021627450332.jpg,125.0,EasyOCR (bottom),TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :CAMPO Modelo:SPL-MFSI NªSérie:0100 NªFoto:047012 Data Afer.:01/01/2017 Faixa:3 Endereço:Faixa Votorantim   Sentido:Norte Data:02/09/2024 Hora: 16h 27 min 45  Vel.max..040 kmvh Vel.med.:125 kmvh Velconsid:116 kmvh
Amostra 4\12345MFS10100-052259-2409021723580332.jpg,Amostra 4,12345MFS10100-052259-2409021723580332.jpg,125.0,EasyOCR (bottom),PUCRS TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :CAMPO Modelo:SPL-MFSI NªSérie:0100 NªFoto:052259 Data Afer.:01/01/2017 Faixa:3 Endereço:Faixa Votorantim   Sentido:Norte Data:02/09/2024 Hora: 17 23 min 58 Vel.max..040 kmvh Vel.med.:125 kmvh Velconsid:116 kmvh
Amostra 4\12345MFS10100-052867-2409021728430332.jpg,Amostra 4,12345MFS10100-052867-2409021728430332.jpg,125.0,EasyOCR (bottom),PUCRS TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE TESTE Equip :CAMPO Modelo:SPL-MFSI NªSérie:0100 NªFoto:052867 Data Afer.:01/01/2017 Faixa:3 Endereço:Faixa Votorantim   Sentido:Norte Data:02/09/2024 Hora: 17 28 min 43 Velmax.:040 knvh Velmed.:125 knvh Velconsid:116 knvh
